netid,slug,score
arjit2,sep-16,100
sdonty2,sep-16,100
dylanad2,sep-16,100
rrfang2,sep-16,100
rajasg2,sep-16,100
sgandhi,sep-16,100
geda2,sep-16,100
eeho2,sep-16,100
peiyuan3,sep-16,100
jacobak3,sep-16,100
pskalle2,sep-16,100
kasink2,sep-16,100
aayush8,sep-16,100
hali53,sep-16,100
aashok8,sep-16,100
rohitmb2,sep-16,100
cychen6,sep-16,100
zihengc2,sep-16,100
anupamd2,sep-16,100
aashayd2,sep-16,100
akhot2,sep-16,100
kona2,sep-16,100
ashwath6,sep-16,100
pk46,sep-16,100
akuma29,sep-16,100
wentaol4,sep-16,100
esliu3,sep-16,100
rkmohan2,sep-16,100
smudili2,sep-16,100
tvm3,sep-16,100
nishkdp2,sep-16,100
gauravr2,sep-16,100
sawanoi2,sep-16,100
mihirs2,sep-16,100
nuoxing2,sep-16,100
pps6,sep-16,100
adelias2,sep-16,100
vismays2,sep-16,100
anniet5,sep-16,100
augale2,sep-16,100
jeremy19,sep-16,100
zhan32,sep-16,100
arjit2,sep-18,100
sdonty2,sep-18,100
dylanad2,sep-18,100
rrfang2,sep-18,100
rajasg2,sep-18,100
sgandhi,sep-18,100
geda2,sep-18,100
eeho2,sep-18,100
peiyuan3,sep-18,100
jacobak3,sep-18,100
pskalle2,sep-18,100
kasink2,sep-18,100
aayush8,sep-18,100
hali53,sep-18,100
aashok8,sep-18,100
rohitmb2,sep-18,100
cychen6,sep-18,100
zihengc2,sep-18,100
anupamd2,sep-18,100
aashayd2,sep-18,100
akhot2,sep-18,100
kona2,sep-18,100
ashwath6,sep-18,100
pk46,sep-18,100
akuma29,sep-18,100
wentaol4,sep-18,100
esliu3,sep-18,100
rkmohan2,sep-18,100
smudili2,sep-18,100
tvm3,sep-18,100
nishkdp2,sep-18,100
gauravr2,sep-18,100
sawanoi2,sep-18,100
mihirs2,sep-18,100
nuoxing2,sep-18,100
pps6,sep-18,100
adelias2,sep-18,100
vismays2,sep-18,100
anniet5,sep-18,100
augale2,sep-18,100
jeremy19,sep-18,100
zhan32,sep-18,100
arjit2,sep-20,100
sdonty2,sep-20,100
dylanad2,sep-20,100
rrfang2,sep-20,100
rajasg2,sep-20,100
sgandhi,sep-20,100
geda2,sep-20,100
eeho2,sep-20,100
peiyuan3,sep-20,100
jacobak3,sep-20,100
pskalle2,sep-20,100
kasink2,sep-20,100
aayush8,sep-20,100
hali53,sep-20,100
aashok8,sep-20,100
rohitmb2,sep-20,100
cychen6,sep-20,100
zihengc2,sep-20,100
anupamd2,sep-20,100
aashayd2,sep-20,100
akhot2,sep-20,100
kona2,sep-20,100
ashwath6,sep-20,100
pk46,sep-20,100
akuma29,sep-20,100
wentaol4,sep-20,100
esliu3,sep-20,100
rkmohan2,sep-20,100
smudili2,sep-20,100
tvm3,sep-20,100
nishkdp2,sep-20,100
gauravr2,sep-20,100
sawanoi2,sep-20,100
mihirs2,sep-20,100
nuoxing2,sep-20,100
pps6,sep-20,100
adelias2,sep-20,100
vismays2,sep-20,100
anniet5,sep-20,100
augale2,sep-20,100
jeremy19,sep-20,100
zhan32,sep-20,100
arjit2,sep-13,100
sdonty2,sep-13,100
dylanad2,sep-13,100
rrfang2,sep-13,100
rajasg2,sep-13,100
sgandhi,sep-13,100
geda2,sep-13,100
eeho2,sep-13,100
peiyuan3,sep-13,100
jacobak3,sep-13,100
pskalle2,sep-13,100
kasink2,sep-13,100
aayush8,sep-13,100
hali53,sep-13,100
aashok8,sep-13,100
rohitmb2,sep-13,100
cychen6,sep-13,100
zihengc2,sep-13,100
anupamd2,sep-13,100
aashayd2,sep-13,100
akhot2,sep-13,100
kona2,sep-13,100
ashwath6,sep-13,100
pk46,sep-13,100
akuma29,sep-13,100
wentaol4,sep-13,100
esliu3,sep-13,100
rkmohan2,sep-13,100
smudili2,sep-13,100
tvm3,sep-13,100
nishkdp2,sep-13,100
gauravr2,sep-13,100
sawanoi2,sep-13,100
mihirs2,sep-13,100
nuoxing2,sep-13,100
pps6,sep-13,100
adelias2,sep-13,100
vismays2,sep-13,100
anniet5,sep-13,100
augale2,sep-13,100
jeremy19,sep-13,100
zhan32,sep-13,100
